date,permno
1965-01-01,10006
1965-01-01,10030
1965-01-01,10102
1965-01-01,10137
1965-01-01,10145
1965-01-01,10153
1965-01-01,10161
1965-01-01,10196
1965-01-01,10225
1965-01-01,10233
1965-01-01,10241
1965-01-01,10321
1965-01-01,10364
1965-01-01,10372
1965-01-01,10401
1965-01-01,10487
1965-01-01,10495
1965-01-01,10524
1965-01-01,10559
1965-01-01,10575
1965-01-01,10591
1965-01-01,10604
1965-01-01,10735
1965-01-01,10751
1965-01-01,10786
1965-01-01,10823
1965-01-01,10866
1965-01-01,10874
1965-01-01,10890
1965-01-01,10970
1965-01-01,10989
1965-01-01,11092
1965-01-01,11156
1965-01-01,11164
1965-01-01,11260
1965-01-01,11295
1965-01-01,11308
1965-01-01,11340
1965-01-01,11367
1965-01-01,11391
1965-01-01,11404
1965-01-01,11439
1965-01-01,11447
1965-01-01,11455
1965-01-01,11471
1965-01-01,11607
1965-01-01,11658
1965-01-01,11674
1965-01-01,11703
1965-01-01,11746
1965-01-01,11754
1965-01-01,11762
1965-01-01,11850
1965-01-01,11981
1965-01-01,12036
1965-01-01,12052
1965-01-01,12060
1965-01-01,12079
1965-01-01,12124
1965-01-01,12132
1965-01-01,12140
1965-01-01,12167
1965-01-01,12183
1965-01-01,12298
1965-01-01,12319
1965-01-01,12431
1965-01-01,12458
1965-01-01,12490
1965-01-01,12503
1965-01-01,12511
1965-01-01,12570
1965-01-01,12626
1965-01-01,12706
1965-01-01,12730
1965-01-01,12749
1965-01-01,12837
1965-01-01,12888
1965-01-01,12896
1965-01-01,12909
1965-01-01,12976
1965-01-01,13047
1965-01-01,13063
1965-01-01,13100
1965-01-01,13119
1965-01-01,13303
1965-01-01,13311
1965-01-01,13354
1965-01-01,13370
1965-01-01,13434
1965-01-01,13522
1965-01-01,13557
1965-01-01,13573
1965-01-01,13610
1965-01-01,13637
1965-01-01,13661
1965-01-01,13688
1965-01-01,13696
1965-01-01,13792
1965-01-01,13821
1965-01-01,13856
1965-01-01,13901
1965-01-01,13928
1965-01-01,14066
1965-01-01,14082
1965-01-01,14090
1965-01-01,14189
1965-01-01,14218
1965-01-01,14250
1965-01-01,14322
1965-01-01,14357
1965-01-01,14429
1965-01-01,14437
1965-01-01,14496
1965-01-01,14509
1965-01-01,14525
1965-01-01,14533
1965-01-01,14541
1965-01-01,14592
1965-01-01,14605
1965-01-01,14656
1965-01-01,14664
1965-01-01,14736
1965-01-01,14760
1965-01-01,14795
1965-01-01,14824
1965-01-01,14883
1965-01-01,14891
1965-01-01,14904
1965-01-01,14912
1965-01-01,14955
1965-01-01,15069
1965-01-01,15325
1965-01-01,15341
1965-01-01,15368
1965-01-01,15448
1965-01-01,15456
1965-01-01,15472
1965-01-01,15499
1965-01-01,15579
1965-01-01,15624
1965-01-01,15659
1965-01-01,15667
1965-01-01,15720
1965-01-01,15747
1965-01-01,15763
1965-01-01,15819
1965-01-01,15966
1965-01-01,16029
1965-01-01,16109
1965-01-01,16205
1965-01-01,16272
1965-01-01,16360
1965-01-01,16424
1965-01-01,16432
1965-01-01,16571
1965-01-01,16598
1965-01-01,16600
1965-01-01,16678
1965-01-01,16707
1965-01-01,16723
1965-01-01,16758
1965-01-01,16870
1965-01-01,16969
1965-01-01,16985
1965-01-01,17128
1965-01-01,17144
1965-01-01,17240
1965-01-01,17267
1965-01-01,17291
1965-01-01,17304
1965-01-01,17320
1965-01-01,17451
1965-01-01,17478
1965-01-01,17558
1965-01-01,17566
1965-01-01,17590
1965-01-01,17646
1965-01-01,17654
1965-01-01,17726
1965-01-01,17750
1965-01-01,17806
1965-01-01,17830
1965-01-01,17849
1965-01-01,17953
1965-01-01,17961
1965-01-01,18016
1965-01-01,18032
1965-01-01,18067
1965-01-01,18091
1965-01-01,18147
1965-01-01,18163
1965-01-01,18198
1965-01-01,18278
1965-01-01,18374
1965-01-01,18382
1965-01-01,18403
1965-01-01,18411
1965-01-01,18446
1965-01-01,18542
1965-01-01,18550
1965-01-01,18569
1965-01-01,18606
1965-01-01,18681
1965-01-01,18729
1965-01-01,18817
1965-01-01,18884
1965-01-01,18921
1965-01-01,18948
1965-01-01,18980
1965-01-01,18999
1965-01-01,19019
1965-01-01,19027
1965-01-01,19043
1965-01-01,19051
1965-01-01,19131
1965-01-01,19166
1965-01-01,19203
1965-01-01,19254
1965-01-01,19334
1965-01-01,19350
1965-01-01,19377
1965-01-01,19385
1965-01-01,19393
1965-01-01,19406
1965-01-01,19414
1965-01-01,19430
1965-01-01,19537
1965-01-01,19553
1965-01-01,19561
1965-01-01,19596
1965-01-01,19617
1965-01-01,19633
1965-01-01,19692
1965-01-01,19713
1965-01-01,19721
1965-01-01,19895
1965-01-01,20001
1965-01-01,20036
1965-01-01,20079
1965-01-01,20124
1965-01-01,20167
1965-01-01,20220
1965-01-01,20239
1965-01-01,20263
1965-01-01,20394
1965-01-01,20431
1965-01-01,20482
1965-01-01,20562
1965-01-01,20570
1965-01-01,20626
1965-01-01,20677
1965-01-01,20730
1965-01-01,20765
1965-01-01,20829
1965-01-01,20837
1965-01-01,20853
1965-01-01,20909
1965-01-01,20968
1965-01-01,20976
1965-01-01,20984
1965-01-01,21004
1965-01-01,21020
1965-01-01,21055
1965-01-01,21178
